Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1447027200,2015-11-09T00:00:00,1.10452971428571,0.127063993801714,0.449274019430893,9.68230747542857,1.11384296966583,3.93833605433121
1447113600,2015-11-10T00:00:00,1.09498045714286,0.125965456809257,0.445389802389321,9.59859868731428,1.10421319438995,3.90428700774479
1447200000,2015-11-11T00:00:00,1.11465462857143,0.128228753816229,0.453392388433286,9.77106247405714,1.12405325595306,3.97443767700618
1447286400,2015-11-12T00:00:00,1.14043268571429,0.131194235731886,0.463877766233357,9.99703292297143,1.15004867042571,4.06635249880161
1447372800,2015-11-13T00:00:00,1.16614971428571,0.134152696981714,0.474338320299643,10.2224683954286,1.17598254174171,4.15804971574667
1447459200,2015-11-14T00:00:00,1.16423828571429,0.133932808150286,0.473560835379107,10.2057128125714,1.1740549962454,4.15123428293325
1447545600,2015-11-15T00:00:00,1.19632148571429,0.137623627395086,0.486610867473107,10.4869541437714,1.20640871774532,4.26563086426926
1447632000,2015-11-16T00:00:00,1.23238388571429,0.141772209828686,0.501279462793607,10.8030771421714,1.24277519135826,4.39421577084876
1447718400,2015-11-17T00:00:00,1.24469451428571,0.143188412228914,0.506286884059393,10.9109921122286,1.25518962159866,4.43811082566464
1447804800,2015-11-18T00:00:00,1.23227074285714,0.141759193987543,0.501233441264679,10.8020853318857,1.2426610944948,4.39381234612617
1447891200,2015-11-19T00:00:00,1.20421371428571,0.138531541477714,0.489821078304643,10.5561374194286,1.21436749259364,4.2937715724185
1447977600,2015-11-20T00:00:00,1.2120696,0.1394352747144,0.49301650646325,10.6250021136,1.22228961814643,4.32178269565685
1448064000,2015-11-21T00:00:00,1.24798251428571,0.143566660460914,0.507624297581893,10.9398147202286,1.25850534560037,4.44983459260287
1448150400,2015-11-22T00:00:00,1.26144994285714,0.145115939976343,0.513102254116179,11.0578701990857,1.27208632983262,4.49785435958242
1448236800,2015-11-23T00:00:00,1.2502272,0.1438248868608,0.508537336824,10.9594916352,1.26076895822177,4.45783829459918
1448323200,2015-11-24T00:00:00,1.27518925714286,0.146696496952457,0.518690801779072,11.1783090281143,1.28594149228524,4.54684356839534
1448409600,2015-11-25T00:00:00,1.2869184,0.1480458058176,0.523461700278,11.2811266944,1.29776953379708,4.58866526463695
1448496000,2015-11-26T00:00:00,1.35243085714286,0.155582293374857,0.550109281201071,11.8554088937143,1.363834383724,4.82225795900859
1448582400,2015-11-27T00:00:00,1.32985611428571,0.152985317531314,0.540926870506393,11.6575186978286,1.3410692934795,4.74176494685904
1448668800,2015-11-28T00:00:00,1.32545417142857,0.152478922426971,0.539136354112714,11.6189312667429,1.33663023399483,4.72606928015205
1448755200,2015-11-29T00:00:00,1.31709908571429,0.151517761721486,0.535737873390107,11.5456905853714,1.32820469925054,4.69627819813768
1448841600,2015-11-30T00:00:00,1.33495748571429,0.153572174199086,0.543001883624357,11.7022373197714,1.34621367902919,4.75995451185112
1448928000,2015-12-01T00:00:00,1.34976308571429,0.155275395617486,0.549024149332607,11.8320232093714,1.36114411798288,4.81274569304964
1449014400,2015-12-02T00:00:00,1.365876,0.157129009164,0.55557817288875,11.973269016,1.37739289433162,4.87019826354278
1449100800,2015-12-03T00:00:00,1.32373474285714,0.152281121083543,0.538436966332179,11.6038587558857,1.33489630741834,4.71993844686788
1449187200,2015-12-04T00:00:00,1.348524,0.155132852436,0.54852014386125,11.821161384,1.35989458445398,4.80832758108772
1449273600,2015-12-05T00:00:00,1.37455234285714,0.158127126969943,0.559107326861679,12.0493258374857,1.38614239501852,4.90113482726948
1449360000,2015-12-06T00:00:00,1.38792548571429,0.159665559951086,0.564546932121857,12.1665548077714,1.39962829853122,4.9488184069802
1449446400,2015-12-07T00:00:00,1.38531737142857,0.159365525091771,0.563486066150464,12.1436920779429,1.39699819295447,4.93951885587497
1449532800,2015-12-08T00:00:00,1.41426102857143,0.162695174465829,0.575259070546286,12.3974121764571,1.42618589936745,5.04272101240874
1449619200,2015-12-09T00:00:00,1.44120411428571,0.165794680103314,0.586218330635143,12.6335952658286,1.45335616578565,5.13878988634766
1449705600,2015-12-10T00:00:00,1.55640925714286,0.179047764532457,0.633078706522822,13.6434835481143,1.56953270389152,5.54956794137905
1449792000,2015-12-11T00:00:00,1.58248217142857,0.182047166518971,0.643684019216464,13.8720387147429,1.5958254617053,5.64253411245153
1449878400,2015-12-12T00:00:00,1.58398354285714,0.182219882786743,0.644294710959429,13.8851997366857,1.59733949250859,5.64788743627035
1449964800,2015-12-13T00:00:00,1.57737394285714,0.181459521012343,0.641606216914929,13.8272599830857,1.5906741611942,5.62432009747626
1450051200,2015-12-14T00:00:00,1.64208651428571,0.188903990516914,0.667928439574393,14.3945303842286,1.65593238087127,5.85506070130913
1450137600,2015-12-15T00:00:00,1.65287211428571,0.190144755155314,0.672315546413893,14.4890769538286,1.66680892369148,5.89351807986419
